
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
Epoka [46/50]   |  Train Acc: 69.71%  |  Val Acc: 88.58%  |  LR: 0.000017
!!!     [Brak poprawy: 12/20]   !!!
Epoka [47/50]   |  Train Acc: 71.89%  |  Val Acc: 88.36%  |  LR: 0.000010
!!!     [Brak poprawy: 13/20]   !!!
Epoka [48/50]   |  Train Acc: 72.74%  |  Val Acc: 88.36%  |  LR: 0.000005
!!!     [Brak poprawy: 14/20]   !!!
Epoka [49/50]   |  Train Acc: 68.69%  |  Val Acc: 88.58%  |  LR: 0.000002
!!!     [Brak poprawy: 15/20]   !!!
Epoka [50/50]   |  Train Acc: 69.83%  |  Val Acc: 88.36%  |  LR: 0.000001
!!!     [Brak poprawy: 16/20]   !!!
-> Wynik (Val): 88.36% | (Train): 69.83%

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 64}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 64 Dropout 0.2 ---
Epoka [1/50]    |  Train Acc: 31.31%  |  Val Acc: 33.33%  |  LR: 0.000999
Epoka [2/50]    |  Train Acc: 33.14%  |  Val Acc: 33.33%  |  LR: 0.000996
!!!     [Brak poprawy: 1/20]    !!!
Epoka [3/50]    |  Train Acc: 33.14%  |  Val Acc: 33.33%  |  LR: 0.000991
!!!     [Brak poprawy: 2/20]    !!!
Epoka [4/50]    |  Train Acc: 33.14%  |  Val Acc: 33.33%  |  LR: 0.000984
!!!     [Brak poprawy: 3/20]    !!!
Epoka [5/50]    |  Train Acc: 33.03%  |  Val Acc: 32.42%  |  LR: 0.000976
!!!     [Brak poprawy: 4/20]    !!!
Epoka [6/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000965
!!!     [Brak poprawy: 5/20]    !!!
Epoka [7/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000952
!!!     [Brak poprawy: 6/20]    !!!
Epoka [8/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000938
!!!     [Brak poprawy: 7/20]    !!!
Epoka [9/50]    |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000922
!!!     [Brak poprawy: 8/20]    !!!
Epoka [10/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000905
!!!     [Brak poprawy: 9/20]    !!!
Epoka [11/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000885
!!!     [Brak poprawy: 10/20]   !!!
Epoka [12/50]   |  Train Acc: 34.74%  |  Val Acc: 32.42%  |  LR: 0.000865
